id,lat,long
257051082,43.1147702,131.9014618
257051088,43.1121599,131.9245959
257160799,43.104782,131.9365497
257160821,43.104179,131.9368581
257160822,43.1045283,131.9377767
257162492,43.1127183,131.936218
257162524,43.1292952,131.9410707
257162532,43.1293472,131.9408892
257162631,43.1339216,131.9360109
257162679,43.1360531,131.9359956
257162756,43.136801,131.9257194
257162797,43.1368336,131.9190923
257294996,43.0966819,131.9573981
257295002,43.097241,131.9550865
257295018,43.1013031,131.9445036
257315583,43.102532,131.9134372
257315607,43.1015422,131.911111
257315724,43.0986476,131.9128783
257315789,43.1010124,131.9048093
257315819,43.1013863,131.9055562
257315835,43.1015537,131.9071852
257315853,43.101065,131.8956242
257315858,43.0998776,131.8946656
257315943,43.094061,131.898743
257315952,43.0937923,131.9017194
257316192,43.1002575,131.9316074
257538587,43.1186339,131.8832588
257538590,43.123739,131.8851617
257538592,43.1245186,131.8886922
257538673,43.1332476,131.9260494
257538680,43.1091824,131.9386113
257538879,43.1167908,131.9366045
257538884,43.1163944,131.9402069
257538891,43.1107463,131.9395633
258048476,43.1028682,131.926687
258048481,43.1169702,131.8793793
258048490,43.1175162,131.8890388
258048493,43.1181421,131.8798011
258048495,43.1192547,131.8802015
258048496,43.1180294,131.8863157
258051661,43.1271224,131.9102019
258051667,43.1304705,131.9115761
258807968,43.1284912,131.9382988
258807989,43.1297869,131.9323764
258808060,43.1273027,131.9263466
258808403,43.1002539,131.9043964
258808407,43.0989643,131.9045148
259001590,43.0963746,131.9720901
259535563,43.1186697,131.9213621
259535577,43.1185849,131.9075925
259535602,43.1147378,131.9124543
259535607,43.1169492,131.9061075
259535612,43.1159908,131.9021886
259535829,43.1180019,131.8908431
259535864,43.1242558,131.892405
259535900,43.1150812,131.9079188
259535938,43.1197947,131.8869456
259535939,43.1189929,131.8910904
259535941,43.1239202,131.8818844
259535942,43.1221299,131.8812551
259535943,43.1215281,131.884295
259535944,43.1209229,131.8873482
259535946,43.1201199,131.8914759
259535949,43.1220586,131.8877535
259535950,43.1231577,131.8881812
259576224,43.1284204,131.9018728
259576226,43.1281758,131.9017706
259576229,43.1281755,131.902206
259576247,43.1328115,131.8999838
259576251,43.1330395,131.9001272
259576254,43.133149,131.8998911
259576257,43.1329205,131.8996801
259576268,43.1352197,131.896063
259576271,43.1342236,131.8999404
259576277,43.1293552,131.8883228
259576290,43.1215271,131.8777792
259576291,43.120643,131.8774799
259576292,43.1201698,131.8805309
259779907,43.0993531,131.9336393
260543560,43.0914863,131.9641583
260543569,43.0893661,131.9620033
262097581,43.1267146,131.9060351
262097592,43.1272967,131.904961
262097631,43.1266906,131.9071494
264653389,43.1216222,131.9121916
264653407,43.1223962,131.9257119
264653414,43.1228539,131.9255787
264653415,43.1229907,131.9250707
264653419,43.1224404,131.9254338
264653512,43.1194777,131.9322418
264653515,43.1222452,131.9272375
264653533,43.1240336,131.9263474
264653570,43.1297452,131.9292729
264889805,43.127656,131.9409855
264889848,43.1283388,131.93927
264889894,43.1297277,131.9432312
266128856,43.1342685,131.9478351
278875277,43.1130219,131.87492
279773173,43.1120033,131.991363
279773184,43.1094513,131.9860517
279773188,43.1077846,131.9842558
279773194,43.1048588,131.9820625
281281861,43.112707,131.8928973
281284338,43.1006396,131.9160548
290852780,43.0953491,131.9144504
292660899,43.1226024,131.9248076
292672870,43.1125367,131.8778702
292673366,43.1054206,131.8738628
292674219,43.1104229,131.8771389
292677018,43.1142832,131.8934903
292680414,43.1256696,131.8905514
292680418,43.1276919,131.8922276
293254080,43.1319248,131.9121481
293254681,43.1144757,131.8924676
293259982,43.0936396,131.8630157
293260080,43.0948341,131.8626424
293581421,43.1122745,131.9202316
293583245,43.0993953,131.9665247
293588941,43.119412,131.8835501
293588946,43.1198153,131.8868393
293589411,43.1301951,131.8898409
293589413,43.1303021,131.8884757
294330663,43.0984724,131.8914132
294330718,43.0959627,131.8880203
294332089,43.0927428,131.8881574
297670760,43.1006669,131.9134912
297670945,43.1017319,131.9169295
297902816,43.1039954,131.9362943
297912123,43.0931731,131.9186869
297912661,43.0923257,131.9175463
297912754,43.0869584,131.90765
297912981,43.0981283,131.9139041
299613512,43.0986917,131.91381
299613554,43.0985642,131.9134489
299613560,43.0986436,131.913805
299613581,43.0985205,131.9135738
299613936,43.0988227,131.9135308
301012296,43.1042736,131.9462701
301012660,43.1044054,131.9457956
301013058,43.110338,131.9393487
301013060,43.1097765,131.9394964
301013063,43.1090125,131.9403149
301013072,43.110035,131.9390231
301013130,43.1053468,131.9465525
301014822,43.1252003,131.9568633
301014825,43.1255466,131.956191
301014959,43.110833,131.9366905
302255635,43.1143933,131.8998935
302260749,43.0989808,131.9667434
302262168,43.0891247,131.9622624
302276049,43.0993551,131.8638909
302286242,43.1144402,131.8851271
302942676,43.1243489,131.8879552
302946738,43.107081,131.8759544
303200509,43.1274546,131.9106545
303201265,43.1264986,131.9396441
303201275,43.1273202,131.9423843
303201309,43.1280844,131.9407451
303201312,43.128536,131.9406039
303201350,43.1274207,131.9411992
303201458,43.1178205,131.9293377
303399717,43.1320954,131.9150451
303792282,43.1270666,131.9105145
303792290,43.1266621,131.9106441
303797063,43.1146956,131.8880516
303797252,43.1148887,131.8870762
303797256,43.1143158,131.8899328
303799359,43.1307228,131.8881939
303800054,43.1263985,131.8808634
303800069,43.1240556,131.8776823
303800070,43.1242158,131.876808
305075012,43.0955159,131.8619369
305075112,43.0979008,131.8663914
305075851,43.1143566,131.9359726
305075876,43.1141243,131.9324512
305075881,43.1138884,131.9289481
306035430,43.1119956,131.9392465
306035727,43.1132346,131.9403552
306035731,43.1160646,131.9422747
